identifier	question
chapter-011	What is that which gleams through me, and strikes my heart without hurting it; and I shudder and kindle?
chapter-011	What then do I measure?
chapter-011	What then is it I measure?
chapter-011	What then is time?
chapter-011	What when we measure silence, and say that this silence hath held as long time as did that voice?
chapter-011	What wilt thou answer me?
chapter-011	When therefore will it be?
chapter-011	Whence it seemed to me, that time is nothing else than protraction; but of what, I know not; and I marvel, if it be not of the mind itself?
chapter-011	Where then is the time, which we may call long?
chapter-011	Which way, but through the present?
chapter-011	Who can even in thought comprehend it, so as to utter a word about it?
chapter-011	Who can readily and briefly explain this?
chapter-011	Who declare it?
chapter-011	Who now teacheth us, but the unchangeable Truth?
chapter-011	Who shall comprehend?
chapter-011	Who therefore denieth, that things to come are not as yet?
chapter-011	Whom shall I enquire of concerning these things?
chapter-011	Why then do I lay in order before Thee so many relations?
chapter-011	Why, I beseech Thee, O Lord my God?
chapter-011	Yea, and if I knew this also, should I know it from him?
chapter-011	Yet what do we measure, if not time in some space?
chapter-011	and what the engine of Thy so mighty fabric?
chapter-011	but no space, we do not measure: or in the past, to which it passes?
chapter-011	do we by a shorter time measure a longer, as by the space of a cubit, the space of a rood?
chapter-011	how, O God, didst Thou make heaven and earth?
chapter-011	or dost Thou see in time, what passeth in time?
chapter-011	or how should they pass by, if they never were?
chapter-011	or how that past increased, which is now no longer, save that in the mind which enacteth this, there be three things done?
chapter-011	or is it perchance that I know not how to express what I know?
chapter-011	or what times should there be, which were not made by Thee?
chapter-011	whence, but from the future?
chapter-011	where is the short syllable by which I measure?
chapter-011	where the long which I measure?
chapter-011	whither cry?
chapter-011	whither, but into the past?
chapter-010	"Is that it?"
chapter-010	Am I not then myself, O Lord my God?
chapter-010	Am I then doubtful of myself in this matter?
chapter-010	And I turned myself unto myself, and said to myself,"Who art thou?"
chapter-010	And from Thee, O Lord, unto whose eyes the abyss of man''s conscience is naked, what could be hidden in me though I would not confess it?
chapter-010	And how shall I find Thee, if I remember Thee not?
chapter-010	And what is this?
chapter-010	And whence does that present itself, but out of the memory itself?
chapter-010	And whence is it that often even in sleep we resist, and mindful of our purpose, and abiding most chastely in it, yield no assent to such enticements?
chapter-010	And where do I recognise it, but in the memory itself?
chapter-010	And where shall I find Thee?
chapter-010	And where should that be, which it containeth not of itself?
chapter-010	And who is he, O Lord, who is not some whit transported beyond the limits of necessity?
chapter-010	And why seek I now in what place thereof Thou dwellest, as if there were places therein?
chapter-010	As then we remember joy?
chapter-010	As we remember eloquence then?
chapter-010	As we remember numbers then?
chapter-010	But for what fruit would they hear this?
chapter-010	But is it so, as one remembers Carthage who hath seen it?
chapter-010	But now when I hear that there be three kinds of questions,"Whether the thing be?
chapter-010	But what do I love, when I love Thee?
chapter-010	But what is forgetfulness, but the privation of memory?
chapter-010	But what is nearer to me than myself?
chapter-010	But what when the memory itself loses any thing, as falls out when we forget and seek that we may recollect?
chapter-010	But when it was present, how did it write its image in the memory, seeing that forgetfulness by its presence effaces even what it finds already noted?
chapter-010	But where in my memory residest Thou, O Lord, where residest Thou there?
chapter-010	But whether by images or no, who can readily say?
chapter-010	But why doth"truth generate hatred,"and the man of Thine, preaching the truth, become an enemy to them?
chapter-010	By remembrance, as though I had forgotten it, remembering that I had forgotten it?
chapter-010	By which of these ought I to seek my God?
chapter-010	Do they desire to joy with me, when they hear how near, by Thy gift, I approach unto Thee?
chapter-010	Does the memory perchance not belong to the mind?
chapter-010	For I ask any one, had he rather joy in truth, or in falsehood?
chapter-010	For then I ask myself how much more or less troublesome it is to me not to have them?
chapter-010	For what is it to hear from Thee of themselves, but to know themselves?
chapter-010	For what pleasure hath it, to see in a mangled carcase what will make you shudder?
chapter-010	For what shall I say, when it is clear to me that I remember forgetfulness?
chapter-010	For when it was found, whence should she know whether it were the same, unless she remembered it?
chapter-010	For who would willingly speak thereof, if so oft as we name grief or fear, we should be compelled to be sad or fearful?
chapter-010	For with a wounded heart have I beheld Thy brightness, and stricken back I said,"Who can attain thither?
chapter-010	How can I say that the image of forgetfulness is retained by my memory, not forgetfulness itself, when I remember it?
chapter-010	How seek I it?
chapter-010	How then do I seek Thee, O Lord?
chapter-010	How then do I seek a happy life, seeing I have it not, until I can say, where I ought to say it,"It is enough"?
chapter-010	How then is it present that I remember it, since when present I can not remember?
chapter-010	I remember to have sought and found many a thing; and this I thereby know, that when I was seeking any of them, and was asked,"Is this it?"
chapter-010	If in my praise I am moved with the good of my neighbour, why am I less moved if another be unjustly dispraised than if it be myself?
chapter-010	Is it also present to itself by its image, and not by itself?
chapter-010	Is it clasped up with the eyes?
chapter-010	Is it without it, and not within?
chapter-010	Is not the life of man upon earth all trial: without any interval?
chapter-010	Is not the life of man upon earth all trial?
chapter-010	Is not this corporeal figure apparent to all whose senses are perfect?
chapter-010	Is the comparison unlike in this, because not in all respects like?
chapter-010	Is the thing different, because they are but small creatures?
chapter-010	Know I not this also?
chapter-010	Known therefore it is to all, for they with one voice be asked,"would they be happy?"
chapter-010	Notwithstanding, in how many most petty and contemptible things is our curiosity daily tempted, and how often we give way, who can recount?
chapter-010	Or, desiring to learn it as a thing unknown, either never having known, or so forgotten it, as not even to remember that I had forgotten it?
chapter-010	Shall I say that that is not in my memory, which I remember?
chapter-010	To wish, namely, to be feared and loved of men, for no other end, but that we may have a joy therein which is no joy?
chapter-010	What am I then, O my God?
chapter-010	What greater madness can be said or thought of?
chapter-010	What middle place is there betwixt these two, where the life of man is not all trial?
chapter-010	What nature am I?
chapter-010	What sayest Thou to me?
chapter-010	What shall I do then, O Thou my true life, my God?
chapter-010	What then do I confess unto Thee in this kind of temptation, O Lord?
chapter-010	What then do I love, when I love my God?
chapter-010	What third way is there?
chapter-010	What, but that I am delighted with praise, but with truth itself, more than with praise?
chapter-010	What, when I name forgetfulness, and withal recognise what I name?
chapter-010	What, when sitting at home, a lizard catching flies, or a spider entangling them rushing into her nets, oft- times takes my attention?
chapter-010	Whence and how entered these things into my memory?
chapter-010	Where in the end do we search, but in the memory itself?
chapter-010	Where is reason then, which, awake, resisteth such suggestions?
chapter-010	Where then and when did I experience my happy life, that I should remember, and love, and long for it?
chapter-010	Where then did I find Thee, that I might learn Thee, but in Thee above me?
chapter-010	Where then did I find Thee, that I might learn Thee?
chapter-010	Where then did they know this happy life, save where they know the truth also?
chapter-010	Where then?
chapter-010	Which images, how they are formed, who can tell, though it doth plainly appear by which sense each hath been brought in and stored up?
chapter-010	Who now shall search out this?
chapter-010	Who will say so?
chapter-010	Who wishes for troubles and difficulties?
chapter-010	Whom could I find to reconcile me to Thee?
chapter-010	Why am I more stung by reproach cast upon myself, than at that cast upon another, with the same injustice, before me?
chapter-010	Why seek they to hear from me what I am; who will not hear from Thee what themselves are?
chapter-010	Why then does not the disputer, thus recollecting, taste in the mouth of his musing the sweetness of joy, or the bitterness of sorrow?
chapter-010	Why then joy they not in it?
chapter-010	and to pray for me, when they shall hear how much I am held back by my own weight?
chapter-010	and who knoweth and saith,"It is false,"unless himself lieth?
chapter-010	by what prayers?
chapter-010	by what sacraments?
chapter-010	how then doth it not comprehend itself?
chapter-010	is it lulled asleep with the senses of the body?
chapter-010	is not a happy life what all will, and no one altogether wills it not?
chapter-010	of what kind it is?"
chapter-010	or is it at last that I deceive myself, and do not the truth before Thee in my heart and tongue?
chapter-010	or shall I say that forgetfulness is for this purpose in my memory, that I might not forget?
chapter-010	was I to have recourse to Angels?
chapter-010	what it is?
chapter-010	what manner of lodging hast Thou framed for Thee?
chapter-010	what manner of sanctuary hast Thou builded for Thee?
chapter-010	whence should I recognise it, did I not remember it?
chapter-010	where have they known it, that they so will it?
chapter-010	where seen it, that they so love it?
chapter-010	who ever sounded the bottom thereof?
chapter-010	who is He above the head of my soul?
chapter-010	who shall comprehend how it is?
chapter-010	why are they not happy?
chapter-010	why then speaks it not the same to all?
