quadgram	frequency
thou hast made all	2
the senses of my	2
did i find thee	2
name of a disciple	2
that they are good	2
if it were said	2
the thing itself is	2
creature more than the	2
sitteth at thy right	2
what takes place in	2
in this kind of	2
of which it is	2
and the earth are	2
such as it was	2
give me what thou	2
the son of man	2
i am poor and	2
him confess unto thee	2
they daily say unto	2
to the nature of	2
dispenser of thy sacrament	2
what difference there is	2
beasts of the earth	2
which was to be	2
the one for his	2
had heard of his	2
preferable to the corruptible	2
which thou madest in	2
thou hast appointed that	2
myself to have joyed	2
god before he made	2
that which is not	2
let there be lights	2
and governor of the	2
but the earth was	2
heaven of heavens which	2
told me also with	2
is the fruit of	2
spiritual and corporeal creature	2
i am about to	2
that i should confess	2
and what was it	2
that i might learn	2
saw thy invisible things	2
is the power of	2
upon earth all trial	2
because it is truth	2
but the living soul	2
to deal with him	2
nor yet do the	2
that which i spent	2
the joy of a	2
may live unto thee	2
the several portions of	2
mother of us all	2
things out of thy	2
he was being led	2
out of a lust	2
but a particle of	2
to myself to be	2
than in the whole	2
but when it is	2
every thing that thou	2
i might learn thee	2
dare i say that	2
concupiscence of the flesh	2
let us measure it	2
that is to say	2
to see in a	2
is above our souls	2
rather there were nothing	2
and over all cattle	2
to be spoken of	2
by the senses of	2
but what sort of	2
be in a strait	2
through the senses of	2
and dwelt among us	2
thou hast broken my	2
i ought not to	2
have learned in whatsoever	2
the hand of my	2
to make any thing	2
sounded and passed away	2
be clothed upon with	2
whereof to make this	2
but the things themselves	2
what do i here	2
not yet such as	2
power of mine which	2
subjoined in the singular	2
did god before he	2
brought up in thy	2
less in a part	2
life of man upon	2
things which thou hast	2
and perfect will of	2
glorify him not as	2
i know how to	2
i will to be	2
in all its parts	2
but he that is	2
give what i love	2
or not much more	2
and how shall i	2
thou hast had compassion	2
the house of the	2
and yet did i	2
that it was not	2
the body which is	2
but the lord god	2
out of my heart	2
moon and stars shine	2
the rest to come	2
by which we measure	2
i have sought thy	2
so far forth it	2
not to sharpen my	2
the waters bring forth	2
i will pass then	2
it to be no	2
the darkness upon the	2
grace to the humble	2
fishes of the sea	2
because i would not	2
learned in whatsoever state	2
and all things are	2
will pass then beyond	2
be multiplied upon the	2
that they might not	2
