identifier	question
homer-iliad_24	Have you no grief in your own homes that you are come to plague me here?
homer-iliad_24	His mother sat down beside him and caressed him with her hand saying,"My son, how long will you keep on thus grieving and making moan?
homer-iliad_24	How can you venture alone to the ships of the Achaeans, and look into the face of him who has slain so many of your brave sons?
homer-iliad_24	Is it a small thing, think you, that the son of Saturn has sent this sorrow upon me, to lose the bravest of my sons?
homer-iliad_24	Is my son still at the ships, or has Achilles hewn him limb from limb, and given him to his hounds?"
homer-iliad_24	Should some one of them see you bearing so much treasure through the darkness of the flying night, what would not your state then be?
homer-iliad_24	So, then, you would all be on the side of mad Achilles, who knows neither right nor ruth?
homer-iliad_24	What think you of this matter?
homer-odyssey_11	"And I said,''Agamemnon, why do you ask me?
homer-odyssey_11	Are you all this time trying to find your way home from Troy, and have you never yet got back to Ithaca nor seen your wife in your own house?''
homer-odyssey_11	But give me news about my son; is he gone to the wars and will he be a great soldier, or is this not so?
homer-odyssey_11	But now tell me, and tell me true, can you give me any news of my son Orestes?
homer-odyssey_11	But tell me, and tell me true, in what way did you die?
homer-odyssey_11	Did you have a long illness, or did heaven vouchsafe you a gentle easy passage to eternity?
homer-odyssey_11	He knew me and said,''Ulysses, noble son of Laertes, why, poor man, have you left the light of day and come down to visit the dead in this sad place?
homer-odyssey_11	How did you come by your death,''said I,''King Agamemnon?
homer-odyssey_11	I was very sorry for him, and cried when I saw him:''Elpenor,''said I,''how did you come down here into this gloom and darkness?
homer-odyssey_11	Is he not tall and good looking, and is he not clever?
homer-odyssey_11	Then Arete said to them: —"What do you think of this man, O Phaeacians?
homer-odyssey_11	Then she knew me at once and spoke fondly to me, saying,''My son, how did you come down to this abode of darkness while you are still alive?
homer-iliad_10	"Who is it,"said he,"that goes thus about the host and the ships alone and in the dead of night, when men are sleeping?
homer-iliad_10	"Why,"said he,"my dear brother, are you thus arming?
homer-iliad_10	Am I to stay with them and wait your coming, or shall I return here as soon as I have given your orders?"
homer-iliad_10	Are there no younger men among the Achaeans who could go about to rouse the princes?
homer-iliad_10	Are you going to send any of our comrades to exploit the Trojans?
homer-iliad_10	Are you looking for one of your mules or for some comrade?
homer-iliad_10	But tell me, and tell me true, where did you leave Hector when you started?
homer-iliad_10	Can you not see that the Trojans are encamped on the brow of the plain hard by our ships, with but a little space between us and them?"
homer-iliad_10	Did you steal in among the Trojan forces, or did some god meet you and give them to you?
homer-iliad_10	He came outside his tent and said,"Why do you go thus alone about the host, and along the line of the ships in the stillness of the night?
homer-iliad_10	How can you sleep on in this way?
homer-iliad_10	How, too, are the watches and sleeping- ground of the Trojans ordered?
homer-iliad_10	Is it to plunder the bodies of the slain, or did Hector send you to spy out what was going on at the ships?
homer-iliad_10	Is there one,"said he,"who for a great reward will do me the service of which I will tell you?
homer-iliad_10	Menelaus replied,"How do I take your meaning?
homer-iliad_10	Or did you come here of your own mere notion?"
homer-iliad_10	Tell me,"said he,"renowned Ulysses, how did you two come by these horses?
homer-iliad_10	The Lysians and proud Mysians, with the Phrygians and Meonians, have their place on the side towards Thymbra; but why ask about all this?
homer-iliad_10	Ulysses then said,"Now tell me; are they sleeping among the Trojan troops, or do they lie apart?
homer-iliad_10	What are their plans?
homer-iliad_10	What is it that you find so urgent?"
homer-iliad_10	What is your business?"
homer-iliad_10	Where lies his armour and his horses?
homer-iliad_10	Will they stay here by the ships and away from the city, or now that they have worsted the Achaeans, will they retire within their walls?"
homer-odyssey_04	"''Can you show me,''said I,''some stratagem by means of which I may catch this old god without his suspecting it and finding me out?
homer-odyssey_04	"''Son of Atreus,''he answered,''why ask me?
homer-odyssey_04	"Do we know, Menelaus,"said she,"the names of these strangers who have come to visit us?
homer-odyssey_04	"I lent it him,"answered Noemon,"what else could I do when a man of his position said he was in a difficulty, and asked me to oblige him?
homer-odyssey_04	Am I, then, to leave off crying and refrain from all the sad thoughts that torture me?
homer-odyssey_04	Are you on public, or private business?
homer-odyssey_04	As he crossed the threshold of her room Penelope said:"Medon, what have the suitors sent you here for?
homer-odyssey_04	At last, however, she said,"Why did my son leave me?
homer-odyssey_04	Does he want to die without leaving any one behind him to keep up his name?"
homer-odyssey_04	Is it to tell the maids to leave their master''s business and cook dinner for them?
homer-odyssey_04	Penelope, who was sleeping sweetly at the gates of dreamland, answered,"Sister, why have you come here?
homer-odyssey_04	Shall we take their horses out, or tell them to find friends elsewhere as they best can?"
homer-odyssey_04	So,"he exclaimed,"these cowards would usurp a brave man''s bed?
homer-odyssey_04	Tell me also, did you let him have the ship of your own free will because he asked you, or did he take it without your leave?"
homer-odyssey_04	Tell me truly, and what young men did he take with him?
homer-odyssey_04	Then, taking a seat near Telemachus he said:"And what, Telemachus, has led you to take this long sea voyage to Lacedaemon?
homer-odyssey_04	They thought he was only away somewhere on the farms, and was with the sheep, or with the swineherd; so Antinous said,"When did he go?
homer-odyssey_04	Were they freemen or his own bondsmen — for he might manage that too?
homer-odyssey_04	What are we to do?
homer-odyssey_04	What business had he to go sailing off in ships that make long voyages over the ocean like sea- horses?
homer-odyssey_04	What do you want?''
homer-odyssey_04	or is he dead?
