bigram	frequency
almost equal	2
white flag	2
high end	2
deck rushed	2
sperma ceti	2
full front	2
soliloquized stubb	2
careful calculation	2
seldom seen	2
six inches	2
long tow	2
every roll	2
inferior souls	2
old ship	2
goes another	2
sadder souls	2
thing within	2
arm thrown	2
azore sailor	2
captain stood	2
name imports	2
might now	2
must now	2
know ye	2
starbuck seemed	2
just come	2
slewed round	2
white squalls	2
pale man	2
loud voice	2
two canallers	2
humpbacked whale	2
chief mates	2
fixedly gaze	2
temperance society	2
three german	2
given forth	2
harris coll	2
stood upright	2
cask near	2
green mountains	2
morning watch	2
one whole	2
yet somehow	2
high lifted	2
wild indian	2
white sailor	2
pressed hard	2
leg now	2
sort whatsoever	2
mizen rigging	2
come forward	2
slid aside	2
looking man	2
one part	2
mates stood	2
regular turns	2
former years	2
plumed head	2
every shock	2
just crossing	2
crazy ahab	2
drowned bones	2
stood gazing	2
weaving away	2
getting better	2
pip jumped	2
past night	2
lay like	2
never heeded	2
young sucking	2
now began	2
monstrous pictures	2
ancient days	2
ye love	2
ticklish business	2
looks much	2
almost seem	2
involuntarily paused	2
binnacle compasses	2
blue water	2
greek mythologies	2
white teeth	2
one glimpse	2
ye know	2
ye may	2
thrown open	2
whaling season	2
two barrels	2
one picture	2
better chance	2
somebody else	2
caught one	2
creamy pool	2
one iron	2
sunken whale	2
muttered stubb	2
now fairly	2
set like	2
tell quohog	2
indifferent sword	2
utmost velocity	2
single hail	2
without seeking	2
grand erie	2
quite impossible	2
white vapors	2
white shadow	2
come round	2
soon see	2
best man	2
forenoon watch	2
cried captain	2
say three	2
sun now	2
one matter	2
mortal miseries	2
tier butts	2
starbuck looked	2
gliding along	2
wonder now	2
downward pointed	2
squall came	2
drawing still	2
deep waters	2
sideways looking	2
get loose	2
teneriffe man	2
time previous	2
began ranging	2
monstrous size	2
yet saw	2
fool us	2
blue day	2
door flew	2
infatuated man	2
gaping wound	2
starboard hand	2
hairy fibres	2
strange spectacle	2
living thing	2
vigorous males	2
pequod thrust	2
wild rumors	2
hidden rocks	2
now proceed	2
intently eyeing	2
old soul	2
mast heads	2
seemed resolved	2
good degree	2
heard something	2
great whaling	2
full sail	2
red flag	2
grand order	2
every step	2
algerine porpoise	2
two line	2
slowly rose	2
now flying	2
strange affair	2
now passed	2
us away	2
wonderful comparative	2
whale really	2
rio de	2
ends book	2
suddenly dropped	2
wide expanded	2
deemed almost	2
gallied whales	2
kept manned	2
grotesque figures	2
look yonder	2
hundred fathoms	2
came back	2
one solitary	2
new sails	2
yawned beneath	2
inquiring whether	2
tolland county	2
true nature	2
last dying	2
will frequently	2
made known	2
larboard hand	2
left arm	2
long arms	2
opposite direction	2
subordinate phantoms	2
nothing else	2
exasperated whale	2
ordinary revenue	2
uncommonly heedful	2
easy reach	2
great washington	2
whale spouts	2
plainly see	2
glanced round	2
back country	2
clumsy cleat	2
must indeed	2
nine hundred	2
hand till	2
must certainly	2
put forth	2
found dead	2
barbed iron	2
now kept	2
blue pilot	2
outer aspect	2
long slender	2
day grew	2
like dead	2
active life	2
dragged along	2
pointed finger	2
seen pip	2
merchant ships	2
strange ship	2
stranded fish	2
brace forward	2
concluding exclamation	2
long look	2
wind rises	2
leathern bag	2
first go	2
hooped round	2
two enormous	2
lie like	2
wholly disappeared	2
even scoresby	2
large casks	2
go drown	2
readily made	2
humped herds	2
specific gravity	2
entire body	2
young girls	2
heavy beating	2
queequeg gave	2
continual sight	2
another reason	2
long pole	2
joint stock	2
everywhere else	2
towards evening	2
long island	2
hull rolled	2
tossed ship	2
great central	2
comparatively late	2
almost fatal	2
seemed well	2
mild blue	2
ship essex	2
hyena whale	2
previous chapter	2
dutch book	2
tempestuous wind	2
precious gold	2
downcast eyes	2
great mischief	2
yet ring	2
first whale	2
hurried towards	2
true method	2
little space	2
white hairs	2
never troubled	2
final end	2
arm thrust	2
ye seem	2
consideration will	2
perry easy	2
every morning	2
hooded head	2
one lost	2
face set	2
head hoisted	2
secret golden	2
good stretching	2
general bulk	2
last whale	2
properly belonging	2
eighty feet	2
dan coopman	2
showed like	2
